iter	Passed	Remaining
865	3126	483
866	3128	479
867	3130	476
868	3132	472
869	3134	468
870	3136	464
871	3139	460
872	3144	457
873	3146	453
874	3148	449
875	3149	445
876	3152	442
877	3154	438
878	3158	434
879	3160	431
880	3163	427
881	3165	423
882	3167	419
883	3169	415
884	3174	412
885	3175	408
886	3177	404
887	3179	401
888	3181	397
889	3183	393
890	3187	389
891	3189	386
892	3192	382
893	3194	378
894	3195	374
895	3197	371
896	3199	367
897	3202	363
898	3204	360
899	3205	356
900	3207	352
901	3209	348
902	3210	344
903	3212	341
904	3215	337
905	3217	333
906	3219	330
907	3220	326
908	3222	322
909	3224	318
910	3225	315
911	3227	311
912	3231	307
913	3233	304
914	3234	300
915	3236	296
916	3238	293
917	3239	289
918	3241	285
919	3242	281
920	3246	278
921	3248	274
922	3249	271
923	3251	267
924	3253	263
925	3255	260
926	3256	256
927	3260	252
928	3262	249
929	3264	245
930	3265	242
931	3267	238
932	3269	234
933	3270	231
934	3272	227
935	3276	224
936	3278	220
937	3280	216
938	3282	213
939	3284	209
940	3286	206
941	3287	202
942	3290	198
943	3292	195
944	3293	191
945	3295	188
946	3297	184
947	3298	180
948	3300	177
949	3303	173
950	3305	170
951	3307	166
952	3309	163
953	3310	159
954	3312	156
955	3314	152
956	3316	149
957	3319	145
958	3321	141
959	3322	138
960	3324	134
961	3326	131
962	3328	127
963	3332	124
964	3334	120
965	3336	117
966	3338	113
967	3340	110
968	3341	106
969	3343	103
970	3346	99
971	3348	96
972	3349	92
973	3351	89
974	3353	85
975	3354	82
976	3356	79
977	3357	75
978	3362	72
979	3364	68
980	3366	65
981	3368	61
982	3370	58
983	3371	54
984	3373	51
985	3377	47
986	3379	44
987	3380	41
988	3382	37
989	3384	34
990	3386	30
991	3388	27
992	3392	23
993	3393	20
994	3395	17
995	3397	13
996	3398	10
997	3400	6
998	3402	3
999	3405	0
